image_path,crop_path,person_id,occlusion,lighting,source_stem,md5,group_id,split,det_ok,det_score,bbox_area_frac,det_stage
/home/tahmid/processed_data/p01/p01_cap_low_001.jpg,/home/tahmid/crops/p01/p01_cap_low_001.jpg,p01,cap,low,IMG_20260822_114227.jpg,daf260bfe3336610c12f03b9c7963fd4,g0,test,True,0.7659834623336792,0.124932334,primary
/home/tahmid/processed_data/p01/p01_cap_low_002.jpg,/home/tahmid/crops/p01/p01_cap_low_002.jpg,p01,cap,low,IMG_20260822_114228.jpg,ec277c20e7cfb96d5c62cb32af9b43ca,g0,test,True,0.7992340922355652,0.12709633,primary
/home/tahmid/processed_data/p01/p01_cap_low_003.jpg,/home/tahmid/crops/p01/p01_cap_low_003.jpg,p01,cap,low,IMG_20260822_114347(1).jpg,6a41baf5c4d1ac2f23f84e0aad95e1ae,g1,train,True,0.6113721132278442,0.114487186,primary
/home/tahmid/processed_data/p01/p01_cap_low_004.jpg,/home/tahmid/crops/p01/p01_cap_low_004.jpg,p01,cap,low,IMG_20260822_114401.jpg,938e724c30e16c03bbd1b1b158a8f934,g2,test,True,0.6967820525169373,0.11236309,primary
/home/tahmid/processed_data/p01/p01_cap_low_005.jpg,/home/tahmid/crops/p01/p01_cap_low_005.jpg,p01,cap,low,IMG_20260822_114402(1).jpg,641eccb3d24cd7760a4e8aa00f810471,g3,val,True,0.7313180565834045,0.11961996,primary
/home/tahmid/processed_data/p01/p01_cap_low_006.jpg,/home/tahmid/crops/p01/p01_cap_low_006.jpg,p01,cap,low,IMG_20260822_114403(1).jpg,97120b2ec48b900402319b0828d0dbc1,g3,val,True,0.7188972234725952,0.116239674,primary
/home/tahmid/processed_data/p01/p01_cap_low_007.jpg,/home/tahmid/crops/p01/p01_cap_low_007.jpg,p01,cap,low,IMG_20260822_114438(1).jpg,e61292d2b116fccc398ff9a6af9f2086,g4,train,True,0.7139408588409424,0.16034105,primary
/home/tahmid/processed_data/p01/p01_cap_low_008.jpg,/home/tahmid/crops/p01/p01_cap_low_008.jpg,p01,cap,low,IMG_20260822_114440.jpg,50430a59d0b66463dd74947a292cb9f3,g4,train,True,0.7295897006988525,0.13251024,primary
/home/tahmid/processed_data/p01/p01_cap_low_009.jpg,/home/tahmid/crops/p01/p01_cap_low_009.jpg,p01,cap,low,IMG_20260822_114440(1).jpg,50430a59d0b66463dd74947a292cb9f3,g4,train,True,0.7295897006988525,0.13251024,primary
/home/tahmid/processed_data/p01/p01_cap_low_010.jpg,/home/tahmid/crops/p01/p01_cap_low_010.jpg,p01,cap,low,IMG_20260822_114443(1).jpg,681ab97401d31e9c65e540c6bc381a5d,g5,val,True,0.7377419471740723,0.13138182,primary
/home/tahmid/processed_data/p01/p01_cap_low_011.jpg,/home/tahmid/crops/p01/p01_cap_low_011.jpg,p01,cap,low,IMG_20260822_114504.jpg,e5da7d64a3daf9ccd6440bdd5e0738bc,g6,val,True,0.6892623901367188,0.116826005,primary
/home/tahmid/processed_data/p01/p01_cap_low_012.jpg,/home/tahmid/crops/p01/p01_cap_low_012.jpg,p01,cap,low,IMG_20260822_114505(1).jpg,2f0042ddcd7e86a40ca16a419fc8ae3b,g6,val,True,0.7069518566131592,0.11676984,primary
/home/tahmid/processed_data/p01/p01_cap_regular_001.jpg,/home/tahmid/crops/p01/p01_cap_regular_001.jpg,p01,cap,regular,IMG_20260822_114212.jpg,f2f57b0419ef9acf9e2f89a045db2432,g7,train,True,0.7577440738677979,0.11110311,primary
/home/tahmid/processed_data/p01/p01_cap_regular_002.jpg,/home/tahmid/crops/p01/p01_cap_regular_002.jpg,p01,cap,regular,IMG_20260822_114212(1).jpg,f2f57b0419ef9acf9e2f89a045db2432,g7,train,True,0.7577440738677979,0.11110311,primary
/home/tahmid/processed_data/p01/p01_cap_regular_003.jpg,/home/tahmid/crops/p01/p01_cap_regular_003.jpg,p01,cap,regular,IMG_20260822_114239.jpg,3ba66b3f3452a121e696ef8fd814e763,g8,train,True,0.5719086527824402,0.069897026,primary
